"","COUNTYNAME","英文土系名","中文土系名","母質種類","土壤特性","土壤形態","排水等級","石灰性","坡度","表土酸鹼性","第一層質地","第二層質地","第三層質地","第四層質地","面積","周長"
"16164","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","3","11","11","11",143631.596,2127.151
"16165","屏東縣","Lg","濫庄系","21","14","1","2","13","1","6","8","8","8","3",369731.429,3519.378
"16166","屏東縣","Ca","加興村系","21","14","1","1","15","1","6","5","8","8","8",1347376.162,6369.902
"16167","屏東縣","Sc","石光見系","21","14","1","2","15","1","5","5","5","5","11",95428.168,1703.324
"16168","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","5","5","5","5",61201.642,1436.743
"16169","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",339635.316,3045.279
"16170","屏東縣","Kk","公館系","21","16","1","1","15","1","6","4","3","3","3",17102.278,515.907
"16171","屏東縣","Kl","歸來系","21","16","1","1","15","1","6","4","4","4","4",109329.607,1482.435
"16172","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",90450.956,1429.797
"16173","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","4","11","11","11",43604.675,1095.426
"16174","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","2","5","5","5",253624.21,3137.875
"16175","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",93064.869,1353.129
"16176","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","5","5","5","5",214979.04,2644.81
"16177","屏東縣","Fy","芳苑系","14","16","1","1","15","1","6","4","2","2","2",76570.094,1147.254
"16178","屏東縣","Cs","長興系","21","14","1","2","3","1","7","5","5","8","8",66805.744,1318.382
"16179","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","4","5","5","5",97636.338,1967.717
"16180","屏東縣","Ct","周厝崙系","21","15","1","2","3","1","7","2","3","2","2",89467.812,2086.712
"16181","屏東縣","Tp","大排沙系","21","15","1","1","3","1","8","3","2","2","2",3100.486,269.777
"16182","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","4","11","11","11",70944.625,1140.02
"16183","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","4","11","11","11",38159.043,815.621
"16184","屏東縣","Hd","下埔頭系","21","16","1","3","15","1","6","5","8","8","9",224864.727,1859.521
"16185","屏東縣","Kk","公館系","21","16","1","1","15","1","6","3","3","3","3",166183.193,1961.994
"16186","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",67845.081,1173.618
"16187","屏東縣","Ct","周厝崙系","21","15","1","2","3","1","7","2","3","2","2",269048.034,3024.171
"16188","屏東縣","Kl","歸來系","21","16","1","1","15","1","6","5","4","4","4",76654.749,1151.107
"16189","屏東縣","Kl","歸來系","21","16","1","1","15","1","6","3","4","4","4",160313.545,1733.944
"16190","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",38053.4,795.466
